Russia, Life tables (period 1x1), Males	Last modified: 26 Sep 2017;  Methods Protocol: v6 (2017)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1959           0      0.04639  0.04469  0.18  100000    4469   96334  6285493  62.85
  1959           1      0.00682  0.00679  0.50   95531     649   95207  6189160  64.79
  1959           2      0.00273  0.00272  0.50   94882     258   94753  6093953  64.23
  1959           3      0.00176  0.00176  0.50   94624     167   94541  5999200  63.40
  1959           4      0.00157  0.00157  0.50   94457     148   94383  5904659  62.51
  1959           5      0.00136  0.00136  0.50   94310     128   94245  5810276  61.61
  1959           6      0.00137  0.00137  0.50   94181     129   94117  5716030  60.69
  1959           7      0.00132  0.00132  0.50   94052     124   93990  5621914  59.77
  1959           8      0.00127  0.00127  0.50   93927     119   93868  5527924  58.85
  1959           9      0.00098  0.00098  0.50   93808      92   93762  5434056  57.93
  1959          10      0.00113  0.00113  0.50   93716     106   93663  5340294  56.98
  1959          11      0.00081  0.00081  0.50   93610      76   93572  5246630  56.05
  1959          12      0.00097  0.00097  0.50   93534      91   93489  5153058  55.09
  1959          13      0.00089  0.00089  0.50   93443      83   93402  5059569  54.15
  1959          14      0.00106  0.00106  0.50   93360      99   93311  4966167  53.19
  1959          15      0.00112  0.00112  0.50   93262     105   93209  4872856  52.25
  1959          16      0.00123  0.00123  0.50   93157     114   93100  4779647  51.31
  1959          17      0.00169  0.00169  0.50   93043     157   92964  4686547  50.37
  1959          18      0.00212  0.00212  0.50   92886     197   92787  4593582  49.45
  1959          19      0.00193  0.00193  0.50   92689     179   92599  4500795  48.56
  1959          20      0.00227  0.00227  0.50   92510     210   92405  4408196  47.65
  1959          21      0.00197  0.00197  0.50   92300     182   92209  4315791  46.76
  1959          22      0.00253  0.00252  0.50   92118     232   92002  4223582  45.85
  1959          23      0.00277  0.00277  0.50   91885     254   91758  4131581  44.96
  1959          24      0.00286  0.00286  0.50   91631     262   91500  4039823  44.09
  1959          25      0.00299  0.00298  0.50   91369     272   91233  3948322  43.21
  1959          26      0.00287  0.00287  0.50   91097     261   90966  3857089  42.34
  1959          27      0.00309  0.00309  0.50   90836     280   90695  3766123  41.46
  1959          28      0.00337  0.00336  0.50   90555     305   90403  3675428  40.59
  1959          29      0.00327  0.00326  0.50   90251     294   90103  3585025  39.72
  1959          30      0.00400  0.00399  0.50   89956     359   89777  3494921  38.85
  1959          31      0.00339  0.00338  0.50   89597     303   89446  3405144  38.00
  1959          32      0.00430  0.00429  0.50   89294     383   89102  3315699  37.13
  1959          33      0.00395  0.00394  0.50   88911     351   88736  3226596  36.29
  1959          34      0.00430  0.00429  0.50   88560     380   88370  3137861  35.43
  1959          35      0.00482  0.00481  0.50   88181     424   87969  3049490  34.58
  1959          36      0.00446  0.00445  0.50   87756     391   87561  2961522  33.75
  1959          37      0.00501  0.00499  0.50   87365     436   87147  2873961  32.90
  1959          38      0.00562  0.00560  0.50   86929     487   86686  2786813  32.06
  1959          39      0.00466  0.00465  0.50   86442     402   86241  2700128  31.24
  1959          40      0.00636  0.00634  0.50   86040     545   85768  2613887  30.38
  1959          41      0.00572  0.00571  0.50   85495     488   85251  2528119  29.57
  1959          42      0.00634  0.00632  0.50   85007     537   84738  2442868  28.74
  1959          43      0.00630  0.00628  0.50   84470     530   84205  2358130  27.92
  1959          44      0.00694  0.00692  0.50   83939     581   83649  2273926  27.09
  1959          45      0.00810  0.00807  0.50   83359     672   83022  2190277  26.28
  1959          46      0.00780  0.00777  0.50   82686     642   82365  2107254  25.48
  1959          47      0.00856  0.00852  0.50   82044     699   81694  2024889  24.68
  1959          48      0.01003  0.00998  0.50   81345     812   80939  1943195  23.89
  1959          49      0.00969  0.00965  0.50   80533     777   80144  1862256  23.12
  1959          50      0.01252  0.01244  0.50   79756     992   79260  1782112  22.34
  1959          51      0.01079  0.01073  0.50   78764     845   78341  1702852  21.62
  1959          52      0.01478  0.01467  0.50   77919    1143   77347  1624511  20.85
  1959          53      0.01423  0.01413  0.50   76776    1085   76233  1547163  20.15
  1959          54      0.01640  0.01627  0.50   75691    1231   75075  1470930  19.43
  1959          55      0.01825  0.01808  0.50   74459    1346   73786  1395855  18.75
  1959          56      0.01885  0.01867  0.50   73113    1365   72430  1322069  18.08
  1959          57      0.02122  0.02100  0.50   71748    1507   70994  1249639  17.42
  1959          58      0.02365  0.02338  0.50   70241    1642   69420  1178645  16.78
  1959          59      0.02355  0.02328  0.50   68599    1597   67800  1109225  16.17
  1959          60      0.02831  0.02792  0.50   67002    1870   66067  1041425  15.54
  1959          61      0.02492  0.02461  0.50   65131    1603   64330   975358  14.98
  1959          62      0.03284  0.03231  0.50   63528    2053   62502   911029  14.34
  1959          63      0.03209  0.03158  0.50   61476    1942   60505   848527  13.80
  1959          64      0.03619  0.03555  0.50   59534    2116   58476   788022  13.24
  1959          65      0.03949  0.03872  0.50   57418    2223   56306   729546  12.71
  1959          66      0.03736  0.03668  0.50   55194    2024   54182   673240  12.20
  1959          67      0.04504  0.04405  0.50   53170    2342   51999   619058  11.64
  1959          68      0.04801  0.04689  0.50   50828    2383   49636   567059  11.16
  1959          69      0.04702  0.04594  0.50   48445    2226   47332   517422  10.68
  1959          70      0.05584  0.05433  0.50   46219    2511   44964   470090  10.17
  1959          71      0.05189  0.05058  0.50   43708    2211   42603   425126   9.73
  1959          72      0.07111  0.06867  0.50   41497    2850   40073   382523   9.22
  1959          73      0.06836  0.06610  0.50   38648    2555   37371   342451   8.86
  1959          74      0.07142  0.06895  0.50   36093    2489   34849   305080   8.45
  1959          75      0.08452  0.08110  0.50   33604    2725   32242   270231   8.04
  1959          76      0.07968  0.07663  0.50   30879    2366   29696   237990   7.71
  1959          77      0.08603  0.08248  0.50   28513    2352   27337   208294   7.31
  1959          78      0.11024  0.10448  0.50   26161    2733   24794   180957   6.92
  1959          79      0.10147  0.09657  0.50   23428    2262   22296   156162   6.67
  1959          80      0.13139  0.12329  0.50   21165    2609   19860   133866   6.32
  1959          81      0.09930  0.09460  0.50   18556    1755   17678   114005   6.14
  1959          82      0.14401  0.13434  0.50   16800    2257   15672    96327   5.73
  1959          83      0.13899  0.12996  0.50   14543    1890   13598    80655   5.55
  1959          84      0.15604  0.14475  0.50   12653    1832   11738    67057   5.30
  1959          85      0.17112  0.15764  0.50   10822    1706    9969    55320   5.11
  1959          86      0.18172  0.16658  0.50    9116    1519    8357    45351   4.97
