Slovakia , Life tables (period 1x1), Females	Last modified: 06 Dec 2018;  Methods Protocol: v6 (2017)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1950           0      0.11055  0.10275  0.31  100000   10275   92952  6246807  62.47
  1950           1      0.00970  0.00965  0.50   89725     866   89291  6153855  68.59
  1950           2      0.00335  0.00335  0.50   88858     298   88709  6064564  68.25
  1950           3      0.00205  0.00205  0.50   88561     182   88470  5975854  67.48
  1950           4      0.00110  0.00110  0.50   88379      97   88330  5887385  66.62
  1950           5      0.00101  0.00101  0.50   88282      89   88237  5799054  65.69
  1950           6      0.00099  0.00099  0.50   88193      87   88149  5710817  64.75
  1950           7      0.00123  0.00123  0.50   88106     108   88051  5622668  63.82
  1950           8      0.00085  0.00085  0.50   87997      75   87960  5534616  62.90
  1950           9      0.00065  0.00065  0.50   87923      57   87894  5446656  61.95
  1950          10      0.00096  0.00096  0.50   87865      84   87823  5358763  60.99
  1950          11      0.00085  0.00085  0.50   87781      74   87744  5270939  60.05
  1950          12      0.00066  0.00066  0.50   87707      58   87677  5183196  59.10
  1950          13      0.00081  0.00081  0.50   87648      71   87613  5095518  58.14
  1950          14      0.00070  0.00070  0.50   87578      61   87547  5007905  57.18
  1950          15      0.00097  0.00097  0.50   87517      85   87474  4920358  56.22
  1950          16      0.00182  0.00182  0.50   87432     159   87352  4832884  55.28
  1950          17      0.00191  0.00191  0.50   87273     167   87189  4745532  54.38
  1950          18      0.00187  0.00187  0.50   87106     163   87025  4658342  53.48
  1950          19      0.00209  0.00208  0.50   86943     181   86853  4571317  52.58
  1950          20      0.00256  0.00256  0.50   86762     222   86651  4484465  51.69
  1950          21      0.00240  0.00240  0.50   86540     208   86436  4397814  50.82
  1950          22      0.00306  0.00306  0.50   86332     264   86200  4311378  49.94
  1950          23      0.00253  0.00252  0.50   86068     217   85960  4225177  49.09
  1950          24      0.00253  0.00252  0.50   85851     217   85743  4139218  48.21
  1950          25      0.00203  0.00203  0.50   85634     174   85548  4053475  47.33
  1950          26      0.00320  0.00319  0.50   85461     273   85324  3967927  46.43
  1950          27      0.00221  0.00221  0.50   85188     188   85094  3882603  45.58
  1950          28      0.00247  0.00247  0.50   85000     210   84895  3797509  44.68
  1950          29      0.00291  0.00290  0.50   84790     246   84667  3712614  43.79
  1950          30      0.00295  0.00295  0.50   84544     249   84419  3627947  42.91
  1950          31      0.00264  0.00264  0.50   84295     223   84183  3543528  42.04
  1950          32      0.00232  0.00232  0.50   84072     195   83975  3459345  41.15
  1950          33      0.00280  0.00280  0.50   83877     235   83760  3375370  40.24
  1950          34      0.00245  0.00244  0.50   83643     204   83540  3291610  39.35
  1950          35      0.00327  0.00327  0.50   83438     273   83302  3208070  38.45
  1950          36      0.00175  0.00175  0.50   83166     146   83093  3124768  37.57
