Taiwan, Life tables (period 1x1), Females	Last modified: 26 Sep 2017;  Methods Protocol: v6 (2017)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1970           0      0.01551  0.01530  0.12  100000    1530   98649  7141894  71.42
  1970           1      0.00447  0.00446  0.50   98470     439   98251  7043245  71.53
  1970           2      0.00306  0.00306  0.50   98031     300   97881  6944994  70.84
  1970           3      0.00193  0.00193  0.50   97731     188   97637  6847113  70.06
  1970           4      0.00119  0.00119  0.50   97543     116   97485  6749475  69.19
  1970           5      0.00083  0.00083  0.50   97427      81   97387  6651990  68.28
  1970           6      0.00060  0.00060  0.50   97346      58   97317  6554603  67.33
  1970           7      0.00044  0.00044  0.50   97288      43   97266  6457286  66.37
  1970           8      0.00035  0.00035  0.50   97245      34   97227  6360020  65.40
  1970           9      0.00032  0.00032  0.50   97210      32   97194  6262793  64.43
  1970          10      0.00035  0.00035  0.50   97179      34   97162  6165598  63.45
  1970          11      0.00039  0.00039  0.50   97145      38   97126  6068437  62.47
  1970          12      0.00044  0.00044  0.50   97107      43   97086  5971311  61.49
  1970          13      0.00050  0.00050  0.50   97064      49   97040  5874225  60.52
  1970          14      0.00056  0.00056  0.50   97015      54   96988  5777185  59.55
  1970          15      0.00064  0.00064  0.50   96961      62   96931  5680197  58.58
  1970          16      0.00071  0.00071  0.50   96900      69   96865  5583266  57.62
  1970          17      0.00075  0.00075  0.50   96831      73   96795  5486401  56.66
  1970          18      0.00075  0.00075  0.50   96758      72   96722  5389606  55.70
  1970          19      0.00077  0.00077  0.50   96686      75   96649  5292884  54.74
  1970          20      0.00082  0.00082  0.50   96611      79   96572  5196236  53.78
  1970          21      0.00086  0.00086  0.50   96532      83   96491  5099664  52.83
  1970          22      0.00094  0.00094  0.50   96449      91   96404  5003173  51.87
  1970          23      0.00106  0.00106  0.50   96358     102   96307  4906769  50.92
  1970          24      0.00120  0.00120  0.50   96256     115   96199  4810461  49.98
  1970          25      0.00115  0.00115  0.50   96141     110   96086  4714263  49.03
  1970          26      0.00107  0.00107  0.50   96031     103   95980  4618176  48.09
  1970          27      0.00112  0.00111  0.50   95928     107   95875  4522197  47.14
  1970          28      0.00118  0.00118  0.50   95821     113   95765  4426322  46.19
  1970          29      0.00126  0.00126  0.50   95708     120   95648  4330557  45.25
  1970          30      0.00137  0.00137  0.50   95587     131   95522  4234909  44.30
  1970          31      0.00153  0.00153  0.50   95456     146   95383  4139388  43.36
  1970          32      0.00166  0.00166  0.50   95311     158   95232  4044004  42.43
  1970          33      0.00172  0.00172  0.50   95153     164   95071  3948772  41.50
  1970          34      0.00173  0.00173  0.50   94989     165   94906  3853702  40.57
  1970          35      0.00177  0.00177  0.50   94824     168   94740  3758795  39.64
  1970          36      0.00189  0.00189  0.50   94656     179   94567  3664055  38.71
  1970          37      0.00198  0.00198  0.50   94477     187   94384  3569488  37.78
  1970          38      0.00204  0.00203  0.50   94290     192   94195  3475105  36.86
  1970          39      0.00215  0.00214  0.50   94099     202   93998  3380910  35.93
  1970          40      0.00232  0.00232  0.50   93897     218   93788  3286912  35.01
  1970          41      0.00250  0.00249  0.50   93679     234   93562  3193124  34.09
  1970          42      0.00270  0.00270  0.50   93445     252   93319  3099562  33.17
  1970          43      0.00296  0.00296  0.50   93193     275   93056  3006243  32.26
  1970          44      0.00320  0.00320  0.50   92918     297   92769  2913187  31.35
  1970          45      0.00356  0.00355  0.50   92621     329   92456  2820418  30.45
  1970          46      0.00391  0.00390  0.50   92292     360   92112  2727962  29.56
  1970          47      0.00409  0.00408  0.50   91932     375   91744  2635850  28.67
  1970          48      0.00424  0.00423  0.50   91557     388   91363  2544106  27.79
  1970          49      0.00482  0.00481  0.50   91169     439   90950  2452743  26.90
  1970          50      0.00576  0.00575  0.50   90730     521   90470  2361793  26.03
  1970          51      0.00638  0.00636  0.50   90209     574   89922  2271324  25.18
  1970          52      0.00656  0.00654  0.50   89635     586   89342  2181402  24.34
  1970          53      0.00704  0.00702  0.50   89049     625   88736  2092060  23.49
  1970          54      0.00790  0.00787  0.50   88424     696   88076  2003323  22.66
  1970          55      0.00822  0.00819  0.50   87728     718   87369  1915247  21.83
  1970          56      0.00856  0.00853  0.50   87010     742   86639  1827879  21.01
  1970          57      0.00939  0.00935  0.50   86268     806   85865  1741240  20.18
  1970          58      0.01031  0.01026  0.50   85461     877   85023  1655375  19.37
  1970          59      0.01180  0.01173  0.50   84585     992   84089  1570352  18.57
  1970          60      0.01388  0.01378  0.50   83593    1152   83017  1486264  17.78
  1970          61      0.01633  0.01620  0.50   82441    1335   81773  1403247  17.02
  1970          62      0.01873  0.01856  0.50   81105    1505   80353  1321474  16.29
  1970          63      0.02036  0.02015  0.50   79600    1604   78798  1241122  15.59
  1970          64      0.02206  0.02182  0.50   77996    1702   77145  1162324  14.90
  1970          65      0.02455  0.02425  0.50   76294    1850   75369  1085179  14.22
  1970          66      0.02809  0.02770  0.50   74444    2062   73413  1009810  13.56
  1970          67      0.02944  0.02901  0.50   72382    2100   71332   936397  12.94
  1970          68      0.03161  0.03112  0.50   70282    2187   69188   865065  12.31
  1970          69      0.03554  0.03492  0.50   68095    2378   66906   795877  11.69
  1970          70      0.03953  0.03876  0.50   65717    2547   64443   728971  11.09
  1970          71      0.04197  0.04110  0.50   63169    2596   61871   664528  10.52
  1970          72      0.04711  0.04603  0.50   60573    2788   59179   602657   9.95
  1970          73      0.06210  0.06023  0.50   57785    3480   56044   543478   9.41
  1970          74      0.06581  0.06372  0.50   54304    3460   52574   487434   8.98
  1970          75      0.06632  0.06419  0.50   50844    3264   49212   434860   8.55
  1970          76      0.07528  0.07255  0.50   47581    3452   45854   385647   8.11
  1970          77      0.07496  0.07225  0.50   44128    3188   42534   339793   7.70
  1970          78      0.07884  0.07585  0.50   40940    3105   39387   297259   7.26
  1970          79      0.09264  0.08854  0.50   37835    3350   36160   257871   6.82
  1970          80      0.10604  0.10070  0.50   34485    3473   32749   221711   6.43
  1970          81      0.11257  0.10657  0.50   31012    3305   29360   188963   6.09
  1970          82      0.11999  0.11320  0.50   27707    3136   26139   159603   5.76
  1970          83      0.13014  0.12219  0.50   24571    3002   23070   133464   5.43
  1970          84      0.14264  0.13315  0.50   21569    2872   20133   110394   5.12
  1970          85      0.15431  0.14325  0.50   18697    2678   17358    90261   4.83
  1970          86      0.16692  0.15406  0.50   16018    2468   14785    72904   4.55
  1970          87      0.18214  0.16694  0.50   13551    2262   12420    58119   4.29
  1970          88      0.19731  0.17959  0.50   11289    2027   10275    45700   4.05
  1970          89      0.21198  0.19167  0.50    9261    1775    8374    35425   3.83
  1970          90      0.22817  0.20481  0.50    7486    1533    6720    27051   3.61
  1970          91      0.24522  0.21844  0.50    5953    1300    5303    20332   3.42
  1970          92      0.26311  0.23252  0.50    4653    1082    4112    15029   3.23
  1970          93      0.28181  0.24700  0.50    3571     882    3130    10917   3.06
  1970          94      0.30130  0.26185  0.50    2689     704    2337     7788   2.90
  1970          95      0.32153  0.27700  0.50    1985     550    1710     5451   2.75
  1970          96      0.34246  0.29239  0.50    1435     420    1225     3741   2.61
  1970          97      0.36401  0.30796  0.50    1015     313     859     2516   2.48
  1970          98      0.38613  0.32365  0.50     703     227     589     1657   2.36
  1970          99      0.40873  0.33937  0.50     475     161     395     1068   2.25
  1970         100      0.43172  0.35507  0.50     314     111     258      673   2.14
  1970         101      0.45501  0.37068  0.50     202      75     165      415   2.05
  1970         102      0.47849  0.38612  0.50     127      49     103      250   1.96
