Taiwan, Life tables (period 1x1), Males	Last modified: 26 Sep 2017;  Methods Protocol: v6 (2017)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1970           0      0.01792  0.01764  0.11  100000    1764   98436  6631457  66.31
  1970           1      0.00508  0.00506  0.50   98236     497   97987  6533021  66.50
  1970           2      0.00346  0.00346  0.50   97739     338   97570  6435033  65.84
  1970           3      0.00217  0.00217  0.50   97401     211   97295  6337463  65.07
  1970           4      0.00137  0.00137  0.50   97190     133   97123  6240168  64.21
  1970           5      0.00103  0.00103  0.50   97057     100   97007  6143045  63.29
  1970           6      0.00080  0.00080  0.50   96957      77   96918  6046038  62.36
  1970           7      0.00063  0.00063  0.50   96879      61   96849  5949120  61.41
  1970           8      0.00053  0.00053  0.50   96818      51   96793  5852272  60.45
  1970           9      0.00047  0.00047  0.50   96768      45   96745  5755479  59.48
  1970          10      0.00046  0.00046  0.50   96722      44   96700  5658734  58.51
  1970          11      0.00050  0.00050  0.50   96678      48   96654  5562034  57.53
  1970          12      0.00058  0.00058  0.50   96630      56   96602  5465380  56.56
  1970          13      0.00068  0.00068  0.50   96574      66   96541  5368778  55.59
  1970          14      0.00080  0.00080  0.50   96508      77   96469  5272238  54.63
  1970          15      0.00098  0.00098  0.50   96431      95   96383  5175768  53.67
  1970          16      0.00117  0.00117  0.50   96336     113   96280  5079385  52.73
  1970          17      0.00129  0.00129  0.50   96223     124   96161  4983106  51.79
  1970          18      0.00133  0.00133  0.50   96099     128   96035  4886944  50.85
  1970          19      0.00142  0.00142  0.50   95971     137   95903  4790909  49.92
  1970          20      0.00157  0.00157  0.50   95835     150   95760  4695006  48.99
  1970          21      0.00168  0.00167  0.50   95685     160   95604  4599246  48.07
  1970          22      0.00181  0.00181  0.50   95524     173   95438  4503642  47.15
  1970          23      0.00206  0.00206  0.50   95351     196   95253  4408204  46.23
  1970          24      0.00235  0.00235  0.50   95155     224   95043  4312951  45.33
  1970          25      0.00225  0.00224  0.50   94932     213   94825  4217907  44.43
  1970          26      0.00204  0.00204  0.50   94719     193   94622  4123082  43.53
  1970          27      0.00204  0.00204  0.50   94526     193   94429  4028460  42.62
  1970          28      0.00211  0.00211  0.50   94333     199   94233  3934031  41.70
  1970          29      0.00216  0.00215  0.50   94134     203   94033  3839797  40.79
  1970          30      0.00227  0.00227  0.50   93931     213   93825  3745765  39.88
  1970          31      0.00247  0.00247  0.50   93718     231   93602  3651940  38.97
  1970          32      0.00270  0.00270  0.50   93487     252   93361  3558338  38.06
  1970          33      0.00287  0.00286  0.50   93234     267   93101  3464977  37.16
  1970          34      0.00297  0.00296  0.50   92968     275   92830  3371876  36.27
  1970          35      0.00306  0.00305  0.50   92692     283   92551  3279046  35.38
  1970          36      0.00316  0.00315  0.50   92409     291   92263  3186496  34.48
  1970          37      0.00327  0.00327  0.50   92118     301   91967  3094232  33.59
