UkrainePopulation size (abridged)	Last modified: 26 Sep 2017;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
  1959           0            395002.14       416947.63       811949.77
  1959           1            385824.27       404397.19       790221.46
  1959           2            390605.71       408185.22       798790.93
  1959           3            379807.27       397439.54       777246.81
  1959           4            395377.35       412353.01       807730.36
  1959           5            372721.07       388307.36       761028.43
  1959           6            388723.17       407160.64       795883.81
  1959           7            374053.13       391009.36       765062.49
  1959           8            391896.91       406116.67       798013.58
  1959           9            386515.23       397391.60       783906.83
  1959          10            377542.76       389969.15       767511.91
  1959          11            305095.37       315360.41       620455.78
  1959          12            321832.52       330813.70       652646.22
  1959          13            211633.75       219129.56       430763.31
  1959          14            244807.66       249882.53       494690.19
  1959          15            233830.90       234306.21       468137.11
  1959          16            294963.31       293266.16       588229.47
  1959          17            381452.89       374230.82       755683.71
  1959          18            431474.15       421263.62       852737.77
  1959          19            438548.07       428961.32       867509.39
  1959          20            512372.31       469621.58       981993.89
  1959          21            488721.31       471937.36       960658.67
  1959          22            439253.17       411291.39       850544.56
  1959          23            356292.35       358790.98       715083.33
  1959          24            288672.25       291692.93       580365.18
  1959          25            265493.54       253890.94       519384.48
  1959          26            326614.15       299678.10       626292.25
  1959          27            326049.07       308405.58       634454.65
  1959          28            436879.29       400783.03       837662.32
  1959          29            393640.99       356310.05       749951.04
  1959          30            482656.36       418776.26       901432.62
  1959          31            397862.94       352189.58       750052.52
  1959          32            444350.69       339213.80       783564.49
  1959          33            409721.25       290978.46       700699.71
  1959          34            409958.99       272351.06       682310.05
  1959          35            383016.33       249666.29       632682.62
  1959          36            355976.52       214597.80       570574.32
  1959          37            292051.49       188686.50       480737.99
  1959          38            296894.85       185748.30       482643.15
  1959          39            256694.75       160214.71       416909.46
  1959          40            308435.06       188450.29       496885.35
  1959          41            184549.75       117854.40       302404.15
  1959          42            229908.65       136986.27       366894.92
  1959          43            268928.33       162149.58       431077.91
  1959          44            364622.99       208372.65       572995.64
  1959          45            348914.09       212195.75       561109.84
  1959          46            382937.44       223948.67       606886.11
  1959          47            308349.13       196817.39       505166.52
  1959          48            388567.66       228188.31       616755.97
  1959          49            282846.78       183609.31       466456.09
  1959          50            331999.51       206117.13       538116.64
  1959          51            275765.95       183634.81       459400.76
  1959          52            290882.91       190653.21       481536.12
  1959          53            269161.40       168668.88       437830.28
  1959          54            265969.73       166867.20       432836.93
  1959          55            294820.60       163897.53       458718.13
  1959          56            268121.80       147231.13       415352.93
  1959          57            204901.03       110371.80       315272.83
  1959          58            318896.07       152236.17       471132.24
  1959          59            176141.91       107092.43       283234.34
  1959          60            236532.29       127037.32       363569.61
  1959          61            159714.61        98879.04       258593.65
  1959          62            194907.60       115056.01       309963.61
  1959          63            185142.43       107829.34       292971.77
  1959          64            174418.30       100044.79       274463.09
  1959          65            184917.07       103624.62       288541.69
  1959          66            160097.13        92105.61       252202.74
  1959          67            145602.50        78746.50       224349.00
  1959          68            154345.93        82486.49       236832.42
  1959          69            109126.10        57331.00       166457.10
  1959          70            192182.35        86412.58       278594.93
  1959          71             91814.97        55662.65       147477.62
  1959          72            108381.81        58691.31       167073.12
  1959          73             95640.07        50787.73       146427.80
  1959          74             84924.15        46339.07       131263.22
  1959          75             92719.19        45296.69       138015.88
  1959          76             72073.88        37615.34       109689.22
  1959          77             55454.80        27480.68        82935.48
  1959          78             64877.16        31835.84        96713.00
  1959          79             35280.11        19038.33        54318.44
  1959          80             40356.95        19136.16        59493.11
  1959          81             35575.89        17019.22        52595.11
  1959          82             30971.89        14419.39        45391.28
  1959          83             27008.61        11899.87        38908.48
  1959          84             22546.30         9884.48        32430.78
  1959          85             19007.31         8000.59        27007.90
  1959          86             15741.68         6439.35        22181.03
  1959          87             12551.50         4943.28        17494.78
  1959          88             11330.52         4193.36        15523.88
  1959          89              9062.69         3200.01        12262.70
  1959          90              5965.17         1968.85         7934.02
  1959          91              4907.49         1538.60         6446.09
  1959          92              3948.54         1196.40         5144.94
  1959          93              3264.08          969.49         4233.57
  1959          94              2928.95          835.10         3764.05
  1959          95              2427.67          656.12         3083.79
  1959          96              1732.60          501.49         2234.09
  1959          97              1315.04          371.67         1686.71
  1959          98               953.45          246.83         1200.28
  1959          99               659.13          168.59          827.72
  1959         100               487.96          120.71          608.67
  1959         101               357.14           86.00          443.14
  1959         102               259.10           60.52          319.62
  1959         103               185.76           42.72          228.48
  1959         104               131.85           29.66          161.51
  1959         105                91.96           20.20          112.16
  1959         106                63.67           13.77           77.44
  1959         107                43.74            9.15           52.89
  1959         108                29.38            5.79           35.17
  1959         109                19.61            3.76           23.37
  1959         110+               31.38            3.80           35.18
  1960           0            417445.67       439705.77       857151.44
