Ukraine, Life tables (period 1x1), Females	Last modified: 26 Sep 2017;  Methods Protocol: v6 (2017)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1959           0      0.03304  0.03217  0.17  100000    3217   97346  7219994  72.20
  1959           1      0.00469  0.00468  0.50   96783     453   96557  7122648  73.59
  1959           2      0.00177  0.00177  0.50   96330     170   96245  7026091  72.94
  1959           3      0.00108  0.00107  0.50   96160     103   96109  6929846  72.07
  1959           4      0.00095  0.00095  0.50   96057      91   96011  6833737  71.14
  1959           5      0.00079  0.00079  0.50   95966      76   95928  6737726  70.21
  1959           6      0.00077  0.00077  0.50   95890      74   95853  6641798  69.26
  1959           7      0.00065  0.00065  0.50   95816      62   95785  6545945  68.32
  1959           8      0.00058  0.00058  0.50   95754      55   95727  6450160  67.36
  1959           9      0.00050  0.00050  0.50   95699      48   95675  6354433  66.40
  1959          10      0.00055  0.00055  0.50   95651      52   95625  6258758  65.43
  1959          11      0.00044  0.00044  0.50   95599      42   95578  6163133  64.47
  1959          12      0.00055  0.00055  0.50   95557      52   95531  6067555  63.50
  1959          13      0.00057  0.00057  0.50   95505      55   95477  5972024  62.53
  1959          14      0.00061  0.00061  0.50   95450      58   95421  5876547  61.57
  1959          15      0.00069  0.00069  0.50   95392      66   95359  5781126  60.60
  1959          16      0.00066  0.00066  0.50   95326      63   95294  5685767  59.65
  1959          17      0.00074  0.00074  0.50   95262      71   95227  5590473  58.69
  1959          18      0.00097  0.00097  0.50   95192      92   95146  5495246  57.73
  1959          19      0.00092  0.00092  0.50   95100      87   95056  5400101  56.78
  1959          20      0.00120  0.00120  0.50   95012     114   94956  5305045  55.84
  1959          21      0.00095  0.00095  0.50   94899      90   94854  5210089  54.90
  1959          22      0.00133  0.00133  0.50   94809     126   94745  5115235  53.95
  1959          23      0.00117  0.00117  0.50   94682     111   94627  5020490  53.02
  1959          24      0.00131  0.00131  0.50   94572     124   94510  4925863  52.09
  1959          25      0.00125  0.00125  0.50   94448     118   94389  4831353  51.15
  1959          26      0.00106  0.00106  0.50   94329     100   94279  4736965  50.22
  1959          27      0.00133  0.00132  0.50   94229     125   94167  4642685  49.27
  1959          28      0.00146  0.00146  0.50   94105     138   94036  4548518  48.33
  1959          29      0.00134  0.00134  0.50   93967     126   93904  4454483  47.40
  1959          30      0.00159  0.00159  0.50   93841     149   93767  4360579  46.47
  1959          31      0.00129  0.00129  0.50   93692     121   93632  4266812  45.54
  1959          32      0.00170  0.00170  0.50   93571     159   93492  4173180  44.60
