Ukraine, Life tables (period 1x1), Males	Last modified: 26 Sep 2017;  Methods Protocol: v6 (2017)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1959           0      0.04312  0.04162  0.17  100000    4162   96541  6578118  65.78
  1959           1      0.00492  0.00490  0.50   95838     470   95603  6481577  67.63
  1959           2      0.00188  0.00188  0.50   95368     179   95278  6385974  66.96
  1959           3      0.00131  0.00131  0.50   95188     125   95126  6290696  66.09
  1959           4      0.00094  0.00094  0.50   95064      90   95019  6195570  65.17
  1959           5      0.00086  0.00086  0.50   94974      82   94933  6100552  64.23
  1959           6      0.00094  0.00094  0.50   94892      89   94847  6005619  63.29
  1959           7      0.00089  0.00089  0.50   94803      84   94761  5910771  62.35
  1959           8      0.00094  0.00094  0.50   94719      89   94674  5816011  61.40
  1959           9      0.00080  0.00080  0.50   94629      75   94592  5721337  60.46
  1959          10      0.00086  0.00086  0.50   94554      81   94514  5626745  59.51
  1959          11      0.00075  0.00075  0.50   94473      71   94437  5532231  58.56
  1959          12      0.00097  0.00096  0.50   94402      91   94356  5437794  57.60
  1959          13      0.00068  0.00068  0.50   94311      64   94279  5343438  56.66
  1959          14      0.00086  0.00086  0.50   94247      81   94206  5249159  55.70
  1959          15      0.00104  0.00104  0.50   94165      98   94116  5154953  54.74
  1959          16      0.00122  0.00121  0.50   94067     114   94010  5060837  53.80
  1959          17      0.00132  0.00132  0.50   93953     124   93891  4966827  52.86
  1959          18      0.00170  0.00170  0.50   93829     159   93749  4872936  51.93
  1959          19      0.00163  0.00163  0.50   93669     152   93593  4779187  51.02
  1959          20      0.00177  0.00177  0.50   93517     166   93434  4685594  50.10
  1959          21      0.00141  0.00141  0.50   93351     131   93286  4592159  49.19
  1959          22      0.00194  0.00194  0.50   93220     181   93130  4498874  48.26
  1959          23      0.00225  0.00225  0.50   93039     209   92935  4405744  47.35
  1959          24      0.00229  0.00229  0.50   92830     212   92724  4312809  46.46
  1959          25      0.00243  0.00243  0.50   92618     225   92505  4220085  45.56
  1959          26      0.00207  0.00207  0.50   92393     191   92297  4127580  44.67
  1959          27      0.00232  0.00232  0.50   92202     214   92095  4035283  43.77
  1959          28      0.00264  0.00263  0.50   91988     242   91867  3943188  42.87
  1959          29      0.00253  0.00252  0.50   91746     231   91630  3851321  41.98
  1959          30      0.00308  0.00307  0.50   91514     281   91374  3759690  41.08
  1959          31      0.00258  0.00258  0.50   91233     235   91116  3668316  40.21
  1959          32      0.00328  0.00327  0.50   90998     298   90849  3577201  39.31
  1959          33      0.00309  0.00308  0.50   90700     279   90561  3486352  38.44
  1959          34      0.00320  0.00320  0.50   90421     289   90276  3395791  37.56
  1959          35      0.00391  0.00390  0.50   90132     352   89956  3305515  36.67
  1959          36      0.00339  0.00339  0.50   89780     304   89628  3215559  35.82
  1959          37      0.00392  0.00391  0.50   89476     350   89301  3125931  34.94
  1959          38      0.00457  0.00456  0.50   89126     407   88922  3036631  34.07
  1959          39      0.00354  0.00354  0.50   88719     314   88562  2947708  33.23
  1959          40      0.00515  0.00514  0.50   88405     454   88178  2859146  32.34
  1959          41      0.00464  0.00463  0.50   87951     407   87748  2770968  31.51
  1959          42      0.00544  0.00543  0.50   87544     475   87307  2683220  30.65
  1959          43      0.00486  0.00485  0.50   87069     422   86858  2595913  29.81
  1959          44      0.00513  0.00511  0.50   86647     443   86425  2509056  28.96
  1959          45      0.00628  0.00626  0.50   86203     540   85933  2422631  28.10
  1959          46      0.00598  0.00596  0.50   85664     511   85408  2336697  27.28
  1959          47      0.00673  0.00670  0.50   85153     571   84867  2251289  26.44
  1959          48      0.00762  0.00760  0.50   84582     642   84261  2166422  25.61
  1959          49      0.00759  0.00756  0.50   83939     635   83622  2082161  24.81
  1959          50      0.01015  0.01010  0.50   83305     841   82884  1998539  23.99
  1959          51      0.00805  0.00801  0.50   82464     661   82133  1915655  23.23
  1959          52      0.01141  0.01134  0.50   81803     928   81339  1833521  22.41
  1959          53      0.01123  0.01116  0.50   80875     903   80423  1752183  21.67
  1959          54      0.01234  0.01226  0.50   79972     981   79482  1671759  20.90
  1959          55      0.01407  0.01397  0.50   78991    1104   78440  1592277  20.16
  1959          56      0.01446  0.01436  0.50   77888    1118   77329  1513838  19.44
  1959          57      0.01670  0.01656  0.50   76769    1272   76134  1436509  18.71
  1959          58      0.01810  0.01794  0.50   75498    1354   74821  1360376  18.02
  1959          59      0.01944  0.01926  0.50   74144    1428   73430  1285555  17.34
  1959          60      0.02358  0.02331  0.50   72716    1695   71869  1212125  16.67
  1959          61      0.01949  0.01931  0.50   71021    1371   70336  1140257  16.06
  1959          62      0.02617  0.02583  0.50   69650    1799   68750  1069921  15.36
  1959          63      0.02652  0.02617  0.50   67851    1776   66963  1001170  14.76
  1959          64      0.02936  0.02894  0.50   66075    1912   65119   934207  14.14
  1959          65      0.03096  0.03049  0.50   64163    1956   63185   869088  13.54
  1959          66      0.02895  0.02854  0.50   62207    1775   61319   805903  12.96
  1959          67      0.03831  0.03759  0.50   60432    2272   59296   744584  12.32
  1959          68      0.03896  0.03821  0.50   58160    2222   57049   685288  11.78
  1959          69      0.03978  0.03900  0.50   55938    2182   54847   628239  11.23
  1959          70      0.04919  0.04801  0.50   53756    2581   52466   573392  10.67
  1959          71      0.04428  0.04332  0.50   51175    2217   50067   520926  10.18
  1959          72      0.06245  0.06056  0.50   48958    2965   47476   470860   9.62
  1959          73      0.05848  0.05681  0.50   45993    2613   44687   423384   9.21
  1959          74      0.06466  0.06263  0.50   43380    2717   42022   378697   8.73
  1959          75      0.07320  0.07062  0.50   40663    2872   39227   336676   8.28
  1959          76      0.07534  0.07260  0.50   37792    2744   36420   297448   7.87
  1959          77      0.08016  0.07707  0.50   35048    2701   33697   261029   7.45
  1959          78      0.10075  0.09592  0.50   32347    3103   30795   227331   7.03
  1959          79      0.09837  0.09376  0.50   29244    2742   27873   196536   6.72
  1959          80      0.11584  0.10949  0.50   26502    2902   25051   168663   6.36
  1959          81      0.09341  0.08924  0.50   23600    2106   22547   143612   6.09
  1959          82      0.13460  0.12611  0.50   21494    2711   20139   121065   5.63
  1959          83      0.13944  0.13035  0.50   18783    2448   17559   100927   5.37
  1959          84      0.15428  0.14323  0.50   16335    2340   15165    83368   5.10
  1959          85      0.16198  0.14984  0.50   13995    2097   12947    68203   4.87
  1959          86      0.19249  0.17559  0.50   11898    2089   10853    55256   4.64
  1959          87      0.19093  0.17429  0.50    9809    1710    8954    44403   4.53
  1959          88      0.19051  0.17394  0.50    8099    1409    7395    35449   4.38
  1959          89      0.22549  0.20264  0.50    6690    1356    6013    28054   4.19
