The United States of America, Population size (abridged)	Last modified: 12 Apr 2019;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
     1933        0            984472.26      1015361.55      1999833.81
     1933        1           1040496.02      1064088.29      2104584.31
     1933        2           1093043.81      1117527.14      2210570.95
     1933        3           1107994.31      1135046.59      2243040.90
     1933        4           1130624.43      1179513.62      2310138.05
     1933        5           1168930.56      1228225.14      2397155.70
     1933        6           1190706.56      1238800.33      2429506.89
     1933        7           1203816.58      1245575.51      2449392.09
     1933        8           1224285.20      1255721.28      2480006.48
     1933        9           1230968.73      1254639.67      2485608.40
     1933       10           1243608.10      1262739.94      2506348.04
     1933       11           1249850.28      1267993.62      2517843.90
     1933       12           1228302.26      1245293.97      2473596.23
     1933       13           1206337.89      1218516.85      2424854.74
     1933       14           1188784.61      1197005.32      2385789.93
     1933       15           1176488.92      1180812.04      2357300.96
     1933       16           1170673.13      1170300.59      2340973.72
     1933       17           1167275.44      1161957.37      2329232.81
     1933       18           1162654.19      1152703.87      2315358.06
     1933       19           1156408.23      1142105.21      2298513.44
     1933       20           1147875.30      1129141.23      2277016.53
     1933       21           1136672.00      1113535.47      2250207.47
     1933       22           1123857.96      1096584.79      2220442.75
     1933       23           1110709.37      1079680.91      2190390.28
     1933       24           1096608.03      1062812.95      2159420.98
     1933       25           1079965.15      1045562.60      2125527.75
     1933       26           1060496.39      1027992.05      2088488.44
     1933       27           1039616.10      1010508.45      2050124.55
     1933       28           1018693.99       993583.66      2012277.65
     1933       29            998073.52       977303.70      1975377.22
     1933       30            978027.71       961582.96      1939610.67
     1933       31            958912.65       946540.27      1905452.92
     1933       32            940299.53       932086.07      1872385.60
     1933       33            920939.68       917262.40      1838202.08
     1933       34            903171.39       904394.37      1807565.76
     1933       35            892446.19       898986.17      1791432.36
     1933       36            889940.52       902123.05      1792063.57
     1933       37            891248.73       909205.25      1800453.98
     1933       38            893244.22       916838.05      1810082.27
     1933       39            892355.50       921491.37      1813846.87
     1933       40            881428.19       916325.40      1797753.59
     1933       41            858248.86       899079.39      1757328.25
     1933       42            828830.48       875488.71      1704319.19
     1933       43            798425.74       850676.32      1649102.06
     1933       44            768700.87       825753.84      1594454.71
     1933       45            742409.96       802387.28      1544797.24
     1933       46            720698.67       781340.15      1502038.82
     1933       47            700887.74       760812.69      1461700.43
     1933       48            680400.85       739017.82      1419418.67
     1933       49            659476.01       716413.75      1375889.76
     1933       50            638846.89       694083.67      1332930.56
     1933       51            618614.82       672324.86      1290939.68
     1933       52            598721.12       650785.85      1249506.97
     1933       53            579282.36       629342.55      1208624.91
     1933       54            559732.35       607413.91      1167146.26
     1933       55            538811.14       583674.98      1122486.12
     1933       56            516201.91       557859.44      1074061.35
     1933       57            492887.59       531131.07      1024018.66
     1933       58            469598.70       504327.23       973925.93
     1933       59            446910.33       478214.86       925125.19
     1933       60            426018.75       454313.15       880331.90
     1933       61            407154.01       432971.91       840125.92
     1933       62            389279.59       412937.44       802217.03
     1933       63            371784.18       393244.62       765028.80
     1933       64            354238.67       373363.18       727601.85
     1933       65            335721.79       352288.85       688010.64
     1933       66            316022.41       329728.38       645750.79
     1933       67            295930.98       306697.61       602628.59
     1933       68            276018.03       283952.98       559971.01
     1933       69            256669.03       262050.89       518719.92
     1933       70            238692.39       242088.59       480780.98
     1933       71            222258.51       224299.33       446557.84
     1933       72            206749.55       207769.04       414518.59
     1933       73            191679.07       191748.31       383427.38
     1933       74            178287.08       177279.06       355566.14
     1933       75            163503.30       161153.49       324656.79
     1933       76            145929.25       142219.69       288148.94
     1933       77            128871.83       124013.37       252885.20
     1933       78            112846.89       107013.04       219859.93
     1933       79             98255.10        91595.61       189850.71
     1933       80             87364.61        77763.31       165127.92
     1933       81             75387.05        65757.42       141144.47
     1933       82             64697.36        55255.48       119952.84
     1933       83             54926.81        45896.00       100822.81
     1933       84             45993.83        37624.48        83618.31
     1933       85             37970.97        30352.53        68323.50
     1933       86             30902.47        24145.71        55048.18
     1933       87             24818.96        18912.33        43731.29
     1933       88             19703.42        14571.39        34274.81
     1933       89             15430.51        11051.13        26481.64
     1933       90             11923.33         8242.66        20165.99
     1933       91              9151.11         6081.31        15232.42
     1933       92              6920.73         4438.31        11359.04
     1933       93              5157.54         3214.72         8372.26
     1933       94              3804.99         2302.45         6107.44
     1933       95              2789.98         1627.14         4417.12
     1933       96              2023.58         1141.24         3164.82
     1933       97              1491.69          826.12         2317.81
     1933       98              1126.22          648.77         1774.99
     1933       99               897.78          501.93         1399.71
     1933      100               648.47          360.81         1009.28
     1933      101               446.60          246.30          692.90
     1933      102               302.33          165.24          467.57
     1933      103               202.59          108.35          310.94
     1933      104               133.94           71.00          204.94
     1933      105                86.67           45.50          132.17
     1933      106                54.97           29.45           84.42
     1933      107                34.97           18.61           53.58
     1933      108                22.35           10.85           33.20
     1933      109                13.23            6.58           19.81
     1933      110+               14.48            7.02           21.50
     1934        0            937185.83       968955.42      1906141.25
     1934        1            970696.52       993352.82      1964049.34
     1934        2           1062002.51      1083452.39      2145454.90
     1934        3           1095555.15      1121220.22      2216775.37
     1934        4           1105999.34      1132665.89      2238665.23
     1934        5           1141944.42      1197735.37      2339679.79
     1934        6           1168070.85      1224604.97      2392675.82
     1934        7           1188694.90      1235275.28      2423970.18
     1934        8           1202929.85      1243034.26      2445964.11
     1934        9           1223100.66      1253185.93      2476286.59
     1934       10           1229832.13      1252623.16      2482455.29
     1934       11           1243790.20      1261857.49      2505647.69
     1934       12           1247689.63      1264426.50      2512116.13
     1934       13           1226644.81      1241138.71      2467783.52
     1934       14           1205341.27      1214544.86      2419886.13
     1934       15           1187793.13      1192502.37      2380295.50
     1934       16           1175360.70      1175720.99      2351081.69
     1934       17           1169297.56      1165002.33      2334299.89
     1934       18           1165564.73      1156757.45      2322322.18
     1934       19           1160611.80      1147665.68      2308277.48
     1934       20           1154058.66      1137226.73      2291285.39
     1934       21           1145111.15      1124426.31      2269537.46
     1934       22           1133279.15      1108795.77      2242074.92
     1934       23           1119733.73      1091737.91      2211471.64
     1934       24           1105886.42      1074787.87      2180674.29
     1934       25           1091059.10      1057901.19      2148960.29
     1934       26           1073997.29      1040759.04      2114756.33
     1934       27           1054670.10      1023481.64      2078151.74
     1934       28           1034385.17      1006438.34      2040823.51
     1934       29           1014116.12       989937.56      2004053.68
     1934       30            994145.39       974044.41      1968189.80
     1934       31            974636.29       958606.15      1933242.44
     1934       32            955774.59       943712.54      1899487.13
     1934       33            937132.73       929234.30      1866367.03
     1934       34            917674.10       914315.26      1831989.36
     1934       35            899868.36       901393.07      1801261.43
     1934       36            888874.45       895644.11      1784518.56
     1934       37            885739.31       898056.47      1783795.78
     1934       38            886151.22       904121.27      1790272.49
     1934       39            887235.79       910687.46      1797923.25
     1934       40            885366.73       914198.57      1799565.30
     1934       41            873780.57       908174.76      1781955.33
     1934       42            850606.78       890779.16      1741385.94
     1934       43            821717.43       867566.54      1689283.97
     1934       44            791871.86       843175.03      1635046.89
     1934       45            762750.20       818699.07      1581449.27
     1934       46            736779.48       795476.40      1532255.88
     1934       47            714814.39       773965.28      1488779.67
     1934       48            694280.21       752473.52      1446753.73
     1934       49            673042.84       729687.85      1402730.69
     1934       50            651393.02       706126.86      1357519.88
     1934       51            630162.09       682965.10      1313127.19
     1934       52            609661.12       660646.28      1270307.40
     1934       53            589785.96       638818.35      1228604.31
     1934       54            570421.02       617152.67      1187573.69
     1934       55            550919.40       594977.85      1145897.25
     1934       56            530154.18       571174.22      1101328.40
     1934       57            507866.32       545562.07      1053428.39
     1934       58            484945.76       519197.66      1004143.42
     1934       59            462011.71       492730.34       954742.05
     1934       60            439692.13       466975.51       906667.64
     1934       61            418890.36       443201.60       862091.96
     1934       62            399702.47       421598.76       821301.23
     1934       63            381165.78       401007.54       782173.32
     1934       64            362991.38       380795.75       743787.13
     1934       65            344836.77       360466.90       705303.67
     1934       66            325733.29       338997.22       664730.51
     1934       67            305667.40       316211.88       621879.28
     1934       68            285355.45       293064.48       578419.93
     1934       69            265188.01       270165.58       535353.59
     1934       70            245555.47       248063.67       493619.14
     1934       71            227273.84       227874.22       455148.06
     1934       72            210621.56       209954.77       420576.33
     1934       73            194987.22       193414.82       388402.04
     1934       74            179891.41       177514.50       357405.91
     1934       75            169264.62       165865.30       335129.92
     1934       76            151686.57       147228.88       298915.45
     1934       77            134445.59       128964.12       263409.71
     1934       78            117778.06       111474.28       229252.34
     1934       79            102198.33        95236.39       197434.72
     1934       80             90813.83        80974.49       171788.32
     1934       81             77934.29        68035.66       145969.95
     1934       82             66564.11        56832.03       123396.14
     1934       83             56535.46        47164.20       103699.66
     1934       84             47479.60        38670.66        86150.26
     1934       85             39280.09        31256.59        70536.68
     1934       86             32059.08        24899.35        56958.43
     1934       87             25732.77        19517.09        45249.86
     1934       88             20355.17        15048.27        35403.44
     1934       89             15909.27        11411.92        27321.19
     1934       90             12245.73         8516.75        20762.48
     1934       91              9342.74         6296.54        15639.28
     1934       92              7083.10         4614.17        11697.27
     1934       93              5296.94         3360.05         8656.99
     1934       94              3909.58         2435.27         6344.85
     1934       95              2858.07         1730.78         4588.85
     1934       96              2102.03         1215.89         3317.92
     1934       97              1531.33          846.40         2377.73
     1934       98              1143.80          616.41         1760.21
     1934       99               871.39          492.91         1364.30
     1934      100               667.31          357.61         1024.92
     1934      101               459.84          239.74          699.58
     1934      102               313.12          160.52          473.64
     1934      103               209.32          105.17          314.49
     1934      104               138.78           66.79          205.57
     1934      105                90.85           42.58          133.43
