The United States of America, Life tables (period 1x1), Males	Last modified: 12 Apr 2019;  Methods Protocol: v6 (2017)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1933           0      0.06818  0.06486  0.25  100000    6486   95139  5918927  59.19
  1933           1      0.01004  0.00999  0.50   93514     934   93047  5823788  62.28
  1933           2      0.00467  0.00466  0.50   92580     431   92364  5730741  61.90
  1933           3      0.00333  0.00333  0.50   92148     307   91995  5638377  61.19
  1933           4      0.00254  0.00253  0.50   91842     233   91725  5546382  60.39
  1933           5      0.00209  0.00209  0.50   91609     191   91513  5454656  59.54
  1933           6      0.00190  0.00190  0.50   91418     173   91331  5363143  58.67
  1933           7      0.00174  0.00174  0.50   91244     159   91165  5271812  57.78
  1933           8      0.00161  0.00161  0.50   91085     147   91012  5180647  56.88
  1933           9      0.00151  0.00151  0.50   90938     137   90870  5089635  55.97
  1933          10      0.00144  0.00143  0.50   90801     130   90736  4998765  55.05
  1933          11      0.00141  0.00141  0.50   90671     128   90607  4908029  54.13
  1933          12      0.00146  0.00146  0.50   90543     132   90477  4817422  53.21
  1933          13      0.00158  0.00158  0.50   90411     143   90340  4726945  52.28
  1933          14      0.00177  0.00177  0.50   90268     160   90188  4636605  51.36
  1933          15      0.00201  0.00201  0.50   90108     181   90018  4546416  50.45
  1933          16      0.00225  0.00225  0.50   89927     202   89826  4456399  49.56
  1933          17      0.00248  0.00248  0.50   89725     223   89613  4366573  48.67
  1933          18      0.00271  0.00270  0.50   89502     242   89381  4276959  47.79
  1933          19      0.00293  0.00293  0.50   89260     261   89129  4187578  46.91
  1933          20      0.00315  0.00315  0.50   88999     280   88859  4098449  46.05
  1933          21      0.00334  0.00334  0.50   88719     296   88571  4009590  45.19
  1933          22      0.00350  0.00349  0.50   88423     309   88268  3921019  44.34
  1933          23      0.00362  0.00361  0.50   88114     318   87955  3832751  43.50
  1933          24      0.00369  0.00369  0.50   87795     324   87633  3744796  42.65
  1933          25      0.00373  0.00373  0.50   87472     326   87309  3657163  41.81
  1933          26      0.00379  0.00378  0.50   87146     329   86981  3569854  40.96
  1933          27      0.00386  0.00385  0.50   86816     334   86649  3482873  40.12
  1933          28      0.00395  0.00394  0.50   86482     341   86311  3396224  39.27
  1933          29      0.00407  0.00406  0.50   86141     350   85966  3309913  38.42
  1933          30      0.00421  0.00420  0.50   85791     360   85611  3223947  37.58
  1933          31      0.00438  0.00438  0.50   85431     374   85244  3138335  36.74
  1933          32      0.00461  0.00460  0.50   85058     391   84862  3053091  35.89
